Name,Quelle,Gruppe,Volk,Klasse,Stufe,Fähigkeiten,Upgrade,KÖR,AGI,GEI,ST,BE,VE,HÄ,GE,AU,Lebenskraft,Initiative,Laufen,Abwehr,Schlagen,Schiessen,Zauber,Zielzauber,GH,GK,EP,Talente,Fähigkeiten Schlüssel,Waffen,Panzerung,Ausrüstung,Zaubersprüche
Hilaner Priester,Slayerforum,Mensch,Mensch,Hei,1,Talentiert,,6,6,8,0,0,5,1,0,4,17,6,4,7,6,6,13,,1,no,50,"Bildung II, Wissensgebiet II, Diener des Lichts I, Wissensgebiet I","Bildung II: DS4Talent.education.description, Wissensgebiet II: DS4Talent.knowledge.description, Diener des Lichts I: DS4Talent.servantoflight.description, Wissensgebiet I: DS4Talent.knowledge.description",,,,Heilende Hand (+1)
Hilanischer Peltast,Slayerforum,Mensch,Mensch,SPÄ,1,Talentiert,,7,8,5,1,1,0,2,6,0,19,11,6,12,9,16,,,1,no,53,"Ausweichen I, Flink I, Parade I, Schnelle Reflexe I, Schütze I","Ausweichen I: DS4Talent.evasion.description, Flink I: DS4Talent.fast.description, Parade I: DS4Talent.parade.description, Schnelle Reflexe I: DS4Talent.quickreflexes.description, Schütze I: DS4Talent.shooter.description",Speer (WB+1),"Lederpanzer (PA+1), Holzschild (PA+1)",,
Hobgoblin,Dungeonslayers Basisbox,Humanoide,,,,,,11,6,3,2,0,2,3,3,0,24,6,3.5,18,15,10,,,4,no,71,"Nachtsicht, Wesen der Dunkelheit (Settingoption)","Nachtsicht: DS4CreatureTalent.nightvision.description, Wesen der Dunkelheit (Settingoption): DS4CreatureTalent.creatureofdarkness.description","Langschwert (WB+2), Kurzbogen (2h) (WB+1, INI+1)","Kettenpanzer (PA+2, LA-0.5), Metallhelm (PA+1, INI-1), Holzschild (PA+1)",,
Hoher Dämon,Dungeonslayers Basisbox,Magische Wesen,,,,,,7,7,6,3,3,3,3,3,3,20,10,4.5,12,12,10,,,4,no,104,"Dunkelsicht, Natürliche Waffen, Sturmangriff, Wesen der Dunkelheit (Settingoption)","Dunkelsicht: DS4CreatureTalent.darkvision.description, Natürliche Waffen: DS4CreatureTalent.naturalweapons.description, Sturmangriff: DS4CreatureTalent.charge.description, Wesen der Dunkelheit (Settingoption): DS4CreatureTalent.creatureofdarkness.description","Pranke (WB+2, GA-2)",Dämonenhaut (PA+2),,
Hund,Dungeonslayers Basisbox,Tiere,,,,,,5,6,1,3,3,0,0,0,0,11,9,6,6,9,6,,,1,kl,31,Natürliche Waffen,Natürliche Waffen: DS4CreatureTalent.naturalweapons.description,Biss (WB+1),Fell (PA+1),,
Hydra,Dungeonslayers Basisbox,Magische Wesen,,,,,,14,10,1,5,2,0,6,0,0,90,12,9.5,22,21,10,,,23,gr,246,"Mehrere Angriffe (+5), Mehrere Angriffsglieder, Nachtsicht, Natürliche Waffen, Regeneration, Schleudern, Schwimmen","Mehrere Angriffe (+5): DS4CreatureTalent.multipleattackshydra.description, Mehrere Angriffsglieder: DS4CreatureTalent.multipleweaponshydra.description, Nachtsicht: DS4CreatureTalent.nightvision.description, Natürliche Waffen: DS4CreatureTalent.naturalweapons.description, Regeneration: DS4CreatureTalent.regenerationhydra.description, Schleudern: DS4CreatureTalent.throw.description, Schwimmen: DS4CreatureTalent.swim.description","Großer Biss (WB+2, GA-2)",Schuppenpanzer (PA+2),,
Iglorion,Das Volk der Sturmelfen,Elf,Elf,KRI,1,"Nachtsicht, Unsterblich, Zielsicher",,8,6,6,5,0,0,4,1,0,25,6,4,12,16,8,,,3,no,58,"Einstecker I, Schnelle Reflexe I, Wissensgebiet I, Wissensgebiet I","Einstecker I: DS4Talent.endurance.description, Schnelle Reflexe I: DS4Talent.quickreflexes.description, Wissensgebiet I: DS4Talent.knowledge.description, Wissensgebiet I: DS4Talent.knowledge.description","Streitaxt (2h) (WB+3, INI-2)",,,
Irrlicht,Wolfshatz im Wargenwald,Magische Wesen,,,,,,4,6,1,0,2,0,2,3,0,8,8,4,14,4,10,,,9,kl,185,"Angst, Antimagie, Körperlos, Schweben, Sonar","Angst: DS4CreatureTalent.fear2.description, Antimagie: DS4CreatureTalent.antimagie.description, Körperlos: DS4CreatureTalent.withoutbody.description, Schweben: DS4CreatureTalent.float.description, Sonar: DS4CreatureTalent.sonar.description","Blitzstrahl (WB+1, GA-5)",Keine feste Gestalt (PA+8),,
Jok von Walderson,Chalog Omesch,Mensch,Mensch,KRI,8,Talentiert,,8,7,5,9,2,0,4,0,0,25,10,4,22,23,7,,,12,no,70,"Kämpfer III, Parade III, Brutaler Hieb II, Diener des Lichts II, Einstecker I, Panzerung zerschmettern I, Rüstträger I, Verletzen I, Waffenkenner I","Kämpfer III: DS4Talent.fighter.description, Parade III: DS4Talent.parade.description, Brutaler Hieb II: DS4Talent.brutalstrike.description, Diener des Lichts II: DS4Talent.servantoflight.description, Einstecker I: DS4Talent.endurance.description, Panzerung zerschmettern I: DS4Talent.destroyarmor.description, Rüstträger I: DS4Talent.armorbearer.description, Verletzen I: DS4Talent.violator.description, Waffenkenner I: DS4Talent.weaponsadept.description","mag. Langschwert +1 (WB+3, INI+1, GA-1, Dämonen zerschmettern +II)","Kettenpanzer (PA+2, LA-0.5), mag. Metallhelm +2 (PA+3, Zauber: Giftschutz eingebettet), mag. Metallschild +1 (PA+2, Standhaft +II)",,
Josip,Das Geschenk der Eiskönigin,Elf,Elf,ATT,16,"Nachtsicht, Unsterblich, Leichtfüßig",Heroisch,10,8,8,4,10,2,4,5,0,60,40,5,19,19,13,,,10,kl,234,"Ausweichen V, Heimlichkeit V, Schnelle Reflexe V, Verletzen V, Wahrnehmung V, Handwerk III, Diener der Dunkelheit III, Meucheln III, Hinterhältiger Angriff III","Ausweichen V: DS4Talent.evasion.description, Heimlichkeit V: DS4Talent.creepy.description, Schnelle Reflexe V: DS4Talent.quickreflexes.description, Verletzen V: DS4Talent.violator.description, Wahrnehmung V: DS4Talent.perception.description, Handwerk III: DS4Talent.craft.description, Diener der Dunkelheit III: DS4Talent.servantofdarkness.description, Meucheln III: DS4Talent.assasinate.description, Hinterhältiger Angriff III: DS4Talent.sneakattack.description","mag. Dolch +3 (WB+3, INI+4, GA-3, Aderschlitzer +V)","mag. Robe +3 (PA+3, Ausweichen +IV)","Des Schnitzers Gewandt (Set) (KÖR +1, AGI +1, GEI +1), Handschuhe (Schnelle Reflexe +II), Maske (Wahrnehmung +IV), Stiefel (Schnelle Reflexe +II), Umhang (Heimlichkeit +IV)",
Jost Rotweiden,Die Goblinarena,Mensch,Mensch,PAL,15,Talentiert,,7,7,6,10,2,2,9,0,0,32,6,4,19,23,7,,,11,no,121,"Kämpfer III, Einstecker II, Brutaler Hieb II, Vernichtender Schlag I","Kämpfer III: DS4Talent.fighter.description, Einstecker II: DS4Talent.endurance.description, Brutaler Hieb II: DS4Talent.brutalstrike.description, Vernichtender Schlag I: DS4Talent.devastatestrike.description","Bihänder (2h) (WB+3, INI-2, GA-4)","Kettenpanzer (PA+2, LA-0.5), Metallhelm (PA+1, INI-1)",,
Jungdrache,Dungeonslayers Basisbox,Magische Wesen,,,,,,16,12,7,4,3,2,4,3,2,225,15,12.5,24,24,19,,,37,ri,491,"Angst, Mehrere Angriffe (+1), Dunkelsicht, Fliegen, Natürliche Waffen, Odem, Schleudern, Sturzangriff, Verschlingen, Wesen der Dunkelheit / Wesen des Lichts (Settingoption), Zerstampfen","Angst: DS4CreatureTalent.fear2.description, Mehrere Angriffe (+1): DS4CreatureTalent.multipleattacksdragon.description, Dunkelsicht: DS4CreatureTalent.darkvision.description, Fliegen: DS4CreatureTalent.fly.description, Natürliche Waffen: DS4CreatureTalent.naturalweapons.description, Odem: DS4CreatureTalent.odem.description, Schleudern: DS4CreatureTalent.throw.description, Sturzangriff: DS4CreatureTalent.stuka.description, Verschlingen: DS4CreatureTalent.gulp.description, Wesen der Dunkelheit / Wesen des Lichts (Settingoption): DS4CreatureTalent.creatureoflightordarkness.description, Zerstampfen: DS4CreatureTalent.trample.description","Biss, Klaue, Odem oder Schwanzhieb (WB+4, GA-4)",Drachenschuppen (PA+4),,
Jödländer Schamanin,Slayerforum,Mensch,Mensch,Hei,1,Talentiert,,5,7,8,0,0,0,2,4,4,17,7,4.5,7,6,12,14,,1,no,53,"Fürsorger I, Jäger I, Wissensgebiet I, Wissensgebiet I, Wissensgebiet I, Wissensgebiet I","Fürsorger I: DS4Talent.welfare.description, Jäger I: DS4Talent.hunter.description, Wissensgebiet I: DS4Talent.knowledge.description, Wissensgebiet I: DS4Talent.knowledge.description, Wissensgebiet I: DS4Talent.knowledge.description, Wissensgebiet I: DS4Talent.knowledge.description",Speer (WB+1),,,Heilende Hand (+2)
Kaholwächter,D2GO #17,Mensch,Mensch,KRI,3,Talentiert,,8,6,6,5,1,1,4,2,1,28,7,3.5,14,17,8,,,5,no,66,"Einstecker II, Kämpfer II","Einstecker II: DS4Talent.endurance.description, Kämpfer II: DS4Talent.fighter.description",Langschwert (WB+2),"Kettenpanzer (PA+2, LA-0.5)",,
Kait Jadedrache,Slayerforum,Mensch,Mensch,Zau,1,Talentiert,,8,4,8,5,0,1,1,0,4,19,6,4,10,16,4,12,,2,no,54,"Bildung I, Flink I, Kämpfer I, Parade I, Schnelle Reflexe I, Wahrnehmung I","Bildung I: DS4Talent.education.description, Flink I: DS4Talent.fast.description, Kämpfer I: DS4Talent.fighter.description, Parade I: DS4Talent.parade.description, Schnelle Reflexe I: DS4Talent.quickreflexes.description, Wahrnehmung I: DS4Talent.perception.description","Langschwert (WB+2), Kampfstab (2h) (WB+1, Zielzauber +1)",Robe (runenbestickt) (Aura +1),,Magische Waffe (0)
Kait Ninja,Slayerforum,Mensch,Mensch,SPÄ,1,Talentiert,,8,8,4,5,5,0,0,0,0,18,16,6,11,15,8,,,2,no,52,"Akrobat I, Ausweichen I, Flink I, Heimlichkeit I, Parade I, Schnelle Reflexe I","Akrobat I: DS4Talent.acrobatic.description, Ausweichen I: DS4Talent.evasion.description, Flink I: DS4Talent.fast.description, Heimlichkeit I: DS4Talent.creepy.description, Parade I: DS4Talent.parade.description, Schnelle Reflexe I: DS4Talent.quickreflexes.description","Langschwert (WB+2), Dolch (INI+1)","Lederpanzer (PA+1), Lederschienen (Arm & Bein) (PA+1)",,
Kait Schwertgelehrter,Slayerforum,Mensch,Mensch,KRI,1,Talentiert,,8,4,8,4,0,3,0,0,3,21,7,4,11,14,4,,,2,no,55,"Bildung I, Einstecker I, Flink I, Parade I, Schnelle Reflexe I, Wissensgebiet I","Bildung I: DS4Talent.education.description, Einstecker I: DS4Talent.endurance.description, Flink I: DS4Talent.fast.description, Parade I: DS4Talent.parade.description, Schnelle Reflexe I: DS4Talent.quickreflexes.description, Wissensgebiet I: DS4Talent.knowledge.description","Langschwert (WB+2), Dolch (INI+1)","Lederpanzer (PA+1), Lederschienen (Arm & Bein) (PA+1)",,
Kamp,Dungeonslayers Basisbox,Mensch,Mensch,KRI,3,Talentiert,,8,7,5,5,0,2,4,1,0,22,4,4,15,15,10,,,2,no,61,,,"Langschwert (WB+2), Armbrust, leicht (2h) (WB+2, INI-2)","Kettenpanzer (PA+2, LA-0.5), Metallhelm (PA+1, INI-1)",,
Kampfdämon,Dungeonslayers Basisbox,Magische Wesen,,,,,,9,8,8,4,4,4,4,4,4,46,12,5.5,15,16,12,,,8,gr,152,"Dunkelsicht, Natürliche Waffen, Sturmangriff, Wesen der Dunkelheit (Settingoption)","Dunkelsicht: DS4CreatureTalent.darkvision.description, Natürliche Waffen: DS4CreatureTalent.naturalweapons.description, Sturmangriff: DS4CreatureTalent.charge.description, Wesen der Dunkelheit (Settingoption): DS4CreatureTalent.creatureofdarkness.description","Pranke (WB+3, GA-3)",Dämonenhaut (PA+2),,
Kampfmagier 01,Beispiele,Mensch,Mensch,Sch,1,Talentiert,,8,4,8,0,0,1,4,5,1,31,6,3,12,8,9,,14,1,no,65,"Einstecker III, Schnelle Reflexe I","Einstecker III: DS4Talent.endurance.description, Schnelle Reflexe I: DS4Talent.quickreflexes.description",,Robe (runenbestickt) (Aura +1),,Feuerstrahl (+1)
Kampfmagier 04,Beispiele,Mensch,Mensch,Sch,4,Talentiert,,8,4,8,0,0,2,4,5,3,31,6,6,12,8,12,11,16,1,no,71,"Einstecker III, Zaubermacht III, Schnelle Reflexe I","Einstecker III: DS4Talent.endurance.description, Zaubermacht III: DS4Talent.powerofmagic.description, Schnelle Reflexe I: DS4Talent.quickreflexes.description",,Robe (runenbestickt) (Aura +1),"Ring (Schütze +III), Stiefel (Flink +III)","Feuerstrahl (+1), Flackern (-2), Schattenpfeil (+2)"
Kampfmagier 08,Beispiele,Mensch,Mensch,Sch,8,Talentiert,,8,4,8,0,0,3,4,5,6,31,6,6,12,8,13,14,17,2,no,86,"Einstecker III, Zaubermacht III, Wissensgebiet II, Schnelle Reflexe I, Abklingen I, Schütze I","Einstecker III: DS4Talent.endurance.description, Zaubermacht III: DS4Talent.powerofmagic.description, Wissensgebiet II: DS4Talent.knowledge.description, Schnelle Reflexe I: DS4Talent.quickreflexes.description, Abklingen I: DS4Talent.cooldown.description, Schütze I: DS4Talent.shooter.description",,Robe (runenbestickt) (Aura +1),"Ring (Schütze +III), Stab (Zauber: Verteidigung als Zauberstab), Stab (Zauber: Flackern als Zauberstab), Stiefel (Flink +III)","Blitz (+3), Feuerstrahl (+1), Flackern (-2), Schattenpfeil (+2), Schutzschild (0), Verteidigung (0)"
Kampfmagier 12,Beispiele,Mensch,Mensch,Sch,12,Talentiert,,8,4,8,0,0,3,4,5,10,31,6,6,12,8,15,18,19,4,no,96,"Abklingen III, Einstecker III, Schütze III, Zaubermacht III, Wissensgebiet II, Schnelle Reflexe I","Abklingen III: DS4Talent.cooldown.description, Einstecker III: DS4Talent.endurance.description, Schütze III: DS4Talent.shooter.description, Zaubermacht III: DS4Talent.powerofmagic.description, Wissensgebiet II: DS4Talent.knowledge.description, Schnelle Reflexe I: DS4Talent.quickreflexes.description",,Robe (runenbestickt) (Aura +1),"Ring (Schütze +III), Ring (Zauber: Feuerball Abklingzeit bei Träger verkürzt um 2 Runden), Stab (Zauber: Flackern als Zauberstab), Stab (Zauber: Verteidigung als Zauberstab), Stab (Zauber: Feuerball als Zauberstab), Stiefel (Flink +III)","Blitz (+3), Feuerball (+3), Feuerstrahl (+1), Flackern (-2), Magische Rüstung (0), Schattenpfeil (+2), Schutzschild (0), Verteidigung (0)"
Kavija die Uralte,Das Umbarla-Becken,Mensch,Mensch,Sch,10,Talentiert,,5,5,10,0,0,7,0,1,9,18,5,3.5,5,6,6,19,11,1,no,77,"Alchemie III, Wechsler III, Wissensgebiet III, Magieresistent I, Einstecker I, Diener der Dunkelheit I, Manipulator I, Wissensgebiet I","Alchemie III: DS4Talent.alchemie.description, Wechsler III: DS4Talent.changer.description, Wissensgebiet III: DS4Talent.knowledge.description, Magieresistent I: DS4Talent.magicresistent.description, Einstecker I: DS4Talent.endurance.description, Diener der Dunkelheit I: DS4Talent.servantofdarkness.description, Manipulator I: DS4Talent.manipulator.description, Wissensgebiet I: DS4Talent.knowledge.description","Keule (WB+1, Diener der Dunkelheit +III, Zauber: Wolke des Todes eingebettet)",,"bunte Feder (Kraft der Bestie +I, Adlergestalt +I), Kette (Tiergestalt +I, Kraft der Bestie +I), Umhang (Kraft der Bestie +I, Bärengestalt +I)","Fluch (-(GEI+AU)/2), Gehorche (-(GEI+VE)/2+1), Halt (-(KÖR+AU)/2), Magische Waffe (0), Spionage (0), Tarnender Nebel (-2), Terror (-(GEI+VE)/2+1), Tierbeherrschung (-LK/2+1), Totengespräch (0), Verwirren (-(GEI+AU)/2+1)"
Keiler,Dungeonslayers Basisbox,Tiere,,,,,,10,7,1,2,2,0,5,0,0,38,9,7,17,14,7,,,6,no,89,"Natürliche Waffen, Sturmangriff","Natürliche Waffen: DS4CreatureTalent.naturalweapons.description, Sturmangriff: DS4CreatureTalent.charge.description","Hauer (WB+2, GA-1)",Dicke Borstenhaut (PA+2),,
Kerberos,Der verdorbene Baumherr,Magische Wesen,,,,,,14,8,0,6,2,1,2,2,2,78,10,8,20,23,10,,,19,gr,180,"Mehrere Angriffe (+2), Gift, Angst, Dunkelsicht, Natürliche Waffen, Wesen der Dunkelheit (Settingoption)","Mehrere Angriffe (+2): DS4CreatureTalent.multipleattacks2.description, Gift: DS4CreatureTalent.poison.description, Angst: DS4CreatureTalent.fear1.description, Dunkelsicht: DS4CreatureTalent.darkvision.description, Natürliche Waffen: DS4CreatureTalent.naturalweapons.description, Wesen der Dunkelheit (Settingoption): DS4CreatureTalent.creatureofdarkness.description",Biss (WB+3),Wolfspelz (PA+4),,
Kleine Monsterspinne,Dungeonslayers Basisbox,Tiere,,,,,,10,7,1,2,2,0,1,4,0,32,9,7,12,13,12,,,5,no,97,"Kletterläufer, Lähmungseffekt, Natürliche Waffen","Kletterläufer: DS4CreatureTalent.climb.description, Lähmungseffekt: DS4CreatureTalent.paralyse.description, Natürliche Waffen: DS4CreatureTalent.naturalweapons.description","Spinnenbiss (WB+1, GA-1), Netzflüssigkeit (WB+1)",Dicke Spinnenhaut (PA+1),,
Kleine Mordmücke,Wolfshatz im Wargenwald,Tiere,,,,,,8,9,1,3,4,0,2,0,0,10,13,5.5,10,13,9,,,5,kl,84,"Fliegen, Nachtsicht, Natürliche Waffen, Sturzangriff, Werteverlust","Fliegen: DS4CreatureTalent.fly.description, Nachtsicht: DS4CreatureTalent.nightvision.description, Natürliche Waffen: DS4CreatureTalent.naturalweapons.description, Sturzangriff: DS4CreatureTalent.stuka.description, Werteverlust: DS4CreatureTalent.losskor.description",Blutsaug. Stachel (WB+2),,,
Kleiner Augenball,Schatten über Vestrach,Magische Wesen,,,,,,8,6,8,0,0,2,3,2,2,21,6,4,13,8,8,10,10,9,no,183,"Mehrere Angriffe (+4), Antimagie, Dunkelsicht, Mehrere Angriffsglieder, Schweben, Wesen der Dunkelheit (Settingoption)","Mehrere Angriffe (+4): DS4CreatureTalent.multipleattackseyeballsmall.description, Antimagie: DS4CreatureTalent.antimagie.description, Dunkelsicht: DS4CreatureTalent.darkvision.description, Mehrere Angriffsglieder: DS4CreatureTalent.multipleweaponseyeballsmall.description, Schweben: DS4CreatureTalent.float.description, Wesen der Dunkelheit (Settingoption): DS4CreatureTalent.creatureofdarkness.description",,Warzenhaut (PA+2),,"Blenden (-(AGI+AU)/2), Einschläfern (-(KÖR+VE)/2), Kettenblitz (+3), Schleudern (-(KÖR+AU)/2), Schutzfeld (0), Schutzschild (0), Unsichtbarkeit (0), Verwirren (-(GEI+AU)/2)"
Kleiner Borstenwurm,Trächtige Wildsau,Tiere,,,,,,12,4,2,1,3,1,2,1,0,72,7,5,16,15,5,,,11,gr,164,"Dunkelsicht, Sonar, Verschlingen","Dunkelsicht: DS4CreatureTalent.darkvision.description, Sonar: DS4CreatureTalent.sonar.description, Verschlingen: DS4CreatureTalent.gulp.description","Biss (WB+2, GA-2)",Dicke Borstenhaut (PA+2),,
Kleiner Knochengolem,Das Geheimnis des Knochenbaus,Konstrukte,,,,,,8,9,0,5,4,0,0,0,0,36,13,6,8,15,9,,,7,gr,101,"Dunkelsicht, Geistesimmun, Schleudern, Sturmangriff","Dunkelsicht: DS4CreatureTalent.darkvision.description, Geistesimmun: DS4CreatureTalent.mentalimmunity.description, Schleudern: DS4CreatureTalent.throw.description, Sturmangriff: DS4CreatureTalent.charge.description",Kochenklauen (WB+2),,,
Kobold,Dungeonslayers Basisbox,Humanoide,,,,,,3,6,2,1,1,1,1,2,0,7,7,4,4,5,8,,,1,kl,25,,,Keule (WB+1),,,
Komplize,Wolfshatz im Wargenwald,Mensch,Mensch,KRI,2,Talentiert,,8,8,4,4,0,0,3,3,0,21,8,5,12,15,12,,,2,no,54,"Kämpfer II, Wahrnehmung II, Jäger I, Ausweichen I, Raserei I","Kämpfer II: DS4Talent.fighter.description, Wahrnehmung II: DS4Talent.perception.description, Jäger I: DS4Talent.hunter.description, Ausweichen I: DS4Talent.evasion.description, Raserei I: DS4Talent.fury.description","Axt (WB+1), Speer (WB+1)",Lederpanzer (PA+1),,
Kral der Schreckliche,Das Umbarla-Becken,Mensch,Mensch,BER,12,Talentiert,,8,6,6,7,2,3,6,1,0,30,10,4,19,22,7,,,10,no,77,"Kämpfer III, Raserei III, Brutaler Hieb II, Einstecker II, Standhaft II, Parade I, In Deckung I, Rundumschlag I, Schlachtruf I, Verletzen I","Kämpfer III: DS4Talent.fighter.description, Raserei III: DS4Talent.fury.description, Brutaler Hieb II: DS4Talent.brutalstrike.description, Einstecker II: DS4Talent.endurance.description, Standhaft II: DS4Talent.steady.description, Parade I: DS4Talent.parade.description, In Deckung I: DS4Talent.takecover.description, Rundumschlag I: DS4Talent.allroundstrike.description, Schlachtruf I: DS4Talent.battlecry.description, Verletzen I: DS4Talent.violator.description","mag. Langschwert +2 (WB+4, INI+2, GA-2, Aderschlitzer +II)","Lederpanzer (PA+1), Holzschild (PA+1), mag. Metallhelm +1 (PA+2, Wahrnehmung +III)",,
Kriegsdämon,Dungeonslayers Basisbox,Magische Wesen,,,,,,15,10,10,7,5,5,7,5,5,160,15,8,24,26,15,,,23,ri,297,"Dunkelsicht, Natürliche Waffen, Sturmangriff, Wesen der Dunkelheit (Settingoption)","Dunkelsicht: DS4CreatureTalent.darkvision.description, Natürliche Waffen: DS4CreatureTalent.naturalweapons.description, Sturmangriff: DS4CreatureTalent.charge.description, Wesen der Dunkelheit (Settingoption): DS4CreatureTalent.creatureofdarkness.description","Pranke (WB+4, GA-4)",Dämonenhaut (PA+2),,
Kriegselefant,Dungeonslayers Basisbox,Tiere,,,,,,16,6,1,5,2,0,5,0,0,93,8,6.5,23,23,6,,,16,gr,142,"Natürliche Waffen, Sturmangriff","Natürliche Waffen: DS4CreatureTalent.naturalweapons.description, Sturmangriff: DS4CreatureTalent.charge.description",Rammen (WB+2),Dickhäuter (PA+2),,
Kruga,Das Umbarla-Becken,Mensch,Mensch,KRZ,14,Talentiert,,7,5,8,4,0,8,2,6,0,19,7,3.5,11,18,11,8,14,2,no,110,"Feuermagier III, Wissensgebiet III, Ausweichen II, Einbetten II, Wechsler II, Kämpfer I, Gerüstet I, Arkane Explosion I, Standhaft I, Rüstzauberer I, Wissensgebiet I, Zaubermacht I, Zauberwaffe I","Feuermagier III: DS4Talent.firemage.description, Wissensgebiet III: DS4Talent.knowledge.description, Ausweichen II: DS4Talent.evasion.description, Einbetten II: DS4Talent.embed.description, Wechsler II: DS4Talent.changer.description, Kämpfer I: DS4Talent.fighter.description, Gerüstet I: DS4Talent.armored.description, Arkane Explosion I: DS4Talent.arcanceexplosion.description, Standhaft I: DS4Talent.steady.description, Rüstzauberer I: DS4Talent.armormage.description, Wissensgebiet I: DS4Talent.knowledge.description, Zaubermacht I: DS4Talent.powerofmagic.description, Zauberwaffe I: DS4Talent.magicweapon.description","mag. Breitschwert +2 (WB+3, INI+2, GA-4, Zauber: Feuerball eingebettet)","Lederpanzer (PA+1, Ausweichen +III), Lederschienen (Arm & Bein) (PA+1, Kämpfer +III)",,"Blenden (-(AGI+AU)/2), Duftnote (0), Feueratem (+6), Feuerball (+6), Feuerlanze (+5), Feuerstrahl (+4), Flammenklinge (+3), Halt (-(KÖR+AU)/2), Heilbeeren (0), Netz (-(AGI+ST)/2), Rost (-Stufe), Schatten (-(AGI+AU)/2), Schleudern (-(KÖR+AU)/2), Telekinese (-1/Stufe x5 kg)"
Krötenhaut,Slay! #3,Untote,,,,,Anführer,8,10,0,4,6,2,6,2,0,48,16,6,16,16,14,,,14,no,356,"Mehrere Angriffe (+3), Dunkelsicht, Kletterläufer, Natürliche Waffen, Schwimmen, Verschlingen, Wesen der Dunkelheit (Settingoption)","Mehrere Angriffe (+3): DS4CreatureTalent.multipleattacks3.description, Dunkelsicht: DS4CreatureTalent.darkvision.description, Kletterläufer: DS4CreatureTalent.climb.description, Natürliche Waffen: DS4CreatureTalent.naturalweapons.description, Schwimmen: DS4CreatureTalent.swim.description, Verschlingen: DS4CreatureTalent.gulp.description, Wesen der Dunkelheit (Settingoption): DS4CreatureTalent.creatureofdarkness.description",Klauen/Zunge (WB+2),Warzenhaut,,
Kultist in Mautmoreen,Slayerforum,Mensch,Mensch,Sch,1,Talentiert,,7,5,8,1,1,2,1,3,3,18,6,3.5,8,10,8,,13,1,no,53,"Bildung I, Diener der Dunkelheit I, Kämpfer I, Wahrnehmung I, Wissensgebiet I","Bildung I: DS4Talent.education.description, Diener der Dunkelheit I: DS4Talent.servantofdarkness.description, Kämpfer I: DS4Talent.fighter.description, Wahrnehmung I: DS4Talent.perception.description, Wissensgebiet I: DS4Talent.knowledge.description","Kampfstab (2h) (WB+1, Zielzauber +1), Kurzschwert (WB+1)",Robe (runenbestickt) (Aura +1),,Feuerstrahl (+1)
Lebende Rüstung,Dungeonslayers Basisbox,Konstrukte,,,,,,10,6,0,4,0,0,4,0,0,24,6,4,19,16,6,,,8,no,72,"Dunkelsicht, Geistesimmun","Dunkelsicht: DS4CreatureTalent.darkvision.description, Geistesimmun: DS4CreatureTalent.mentalimmunity.description",Langschwert (WB+2),Metallwesen (PA+5),,
Lebende Wurzel,Angriff auf das Wurzelnest,Pflanzenwesen,,,,,,9,8,0,4,2,0,2,0,0,42,10,5.5,11,15,8,,,8,gr,114,"Geistesimmun, Lähmungseffekt, Natürliche Waffen, Umschlingen","Geistesimmun: DS4CreatureTalent.mentalimmunity.description, Lähmungseffekt: DS4CreatureTalent.paralyse.description, Natürliche Waffen: DS4CreatureTalent.naturalweapons.description, Umschlingen: DS4CreatureTalent.entangle.description",Wurzelhiebe (WB+2),,,
Lehrling in Aenk`Mator,Slayerforum,Mensch,Mensch,Zau,1,Talentiert,,6,6,8,0,0,5,1,2,3,17,6,4,7,6,8,11,,1,no,50,"Bildung II, Alchemie I, Wissensgebiet I, Wissensgebiet I, Wissensgebiet I","Bildung II: DS4Talent.education.description, Alchemie I: DS4Talent.alchemie.description, Wissensgebiet I: DS4Talent.knowledge.description, Wissensgebiet I: DS4Talent.knowledge.description, Wissensgebiet I: DS4Talent.knowledge.description",,Robe (runenbestickt) (Aura +1),,Magie identifizieren (0)
Leichnam,Dungeonslayers Basisbox,Untote,,,,,,7,6,9,17,0,8,21,4,8,38,6,4,31,24,10,17,13,15,no,200,"Angst, Dunkelsicht, Geistesimmun, Totenkraft, Wesen der Dunkelheit (Settingoption)","Angst: DS4CreatureTalent.fear1.description, Dunkelsicht: DS4CreatureTalent.darkvision.description, Geistesimmun: DS4CreatureTalent.mentalimmunity.description, Totenkraft: DS4CreatureTalent.forceofdeath.description, Wesen der Dunkelheit (Settingoption): DS4CreatureTalent.creatureofdarkness.description",,mag. Robe +3 (PA+3),,"Arkanes Schwert (0), Ebenentor (-8), Einschläfern (-(KÖR+VE)/2), Flammeninferno (+5), Frostschock (+3), Gasgestalt (0), Gehorche (-(GEI+VE)/2), Kontrollieren (-(GEI+AU)/2), Magisches Schloss (0), Netz (-(AGI+ST)/2), Schatten (-(AGI+AU)/2), Schatten erwecken (0), Schattenlanze (+5), Skelette erwecken (0), Springen (0), Stolpern (-(AGI+AU)/2), Trugbild (-2), Unsichtbarkeit (0), Verwirren (-(GEI+AU)/2), Wandöffnung (0), Wolke des Todes (-4), Zeitstop (-5)"
Lios,SC2GO,Elf,Elf,Hei,1,"Nachtsicht, Unsterblich, Leichtfüßig",,4,8,8,0,0,2,3,0,6,17,9,5,7,6,9,15,,1,no,54,Ausweichen I,Ausweichen I: DS4Talent.evasion.description,"Langschwert (WB+2), Kurzbogen (2h) (WB+1, INI+1)",Robe (runenbestickt) (Aura +1),,Heilende Hand (+1)
